bulbasaur,Grass,Poison,ivysaur
ivysaur,Grass,Poison,venusaur
venusaur,Grass,Poison,
charmander,Fire,,charmeleon
charmeleon,Fire,,charizard
charizard,Fire,Flying,
squirtle,Water,,wartortle
wartortle,Water,,blastoise
blastoise,Water,,
caterpie,Bug,,metapod
metapod,Bug,,butterfree
butterfree,Bug,Flying,
weedle,Bug,Poison,kakuna
kakuna,Bug,Poison,beedrill
beedrill,Bug,Poison,
pidgey,Normal,Flying,pidgeotto
pidgeotto,Normal,Flying,pidgeot
pidgeot,Normal,Flying,
rattata,Normal,,raticate
raticate,Normal,,
spearow,Normal,Flying,fearow
fearow,Normal,Flying,
ekans,Poison,,arbok
